handle,text,url
RooferXX,#Westminster  #Hail #Damage Licensed Specialist that work well with Ins. co. http://t.co/79Tlm5ja5v   #Roofing #Siding Claims made Simple ~
RooferXX,#UnionBridge  #Hail #Damage Licensed Specialist that work well with Ins. co. http://t.co/79Tlm5ja5v   #Roofing #Siding Claims made Simple ~
RooferXX,#NewWindsor  #Hail #Damage Licensed Specialist that work well with Ins. co. http://t.co/79Tlm5ja5v   #Roofing #Siding Claims made Simple ~
Nolan_Knows,"My #roof #experienced #hail #damage, should I have my roof replaced right away or can I wait? http://t.co/Xoe6h0ORht"
yellowbunss,Looks like tomorrow at work we'll be gettalot of business from ohio ! #hail #highwinds #damage #glass #storms #tornadoes #safeliteautoglass
